day;time;aircraft; type;flight number;runway;gate;arrival or departure

01;01:00;Airliner;LAX;AAL123;25R;307;departure
01;04:00;Regional Jet;DOH;KLM916;25L;144;arrival
01;04:15;Military;LAX;AAL286;07R;310;departure
01;04:30;Airliner;DXB;IBE177;07R;48;arrival
01;04:45;Private Jet;ATL;UAE377;25L;336;departure
01;05:00;Airliner;SIN;BAW741;25R;46;arrival
01;05:30;Private Jet;MAD;SIA902;25R;38;departure
01;05:45;Airliner;ORD;CPA415;07L;107;arrival
01;06:00;Private Jet;BKK;AAL959;25L;346;departure
01;06:15;Private Jet;HKG;AAL192;25L;59;arrival
01;06:30;Military;JFK;AAL496;07R;52;departure
01;07:15;Airliner;LHR;QTR270;07L;344;arrival
01;07:30;Regional Jet;SIN;UAE997;07R;270;departure
01;08:00;Private Jet;DOH;AAL639;25R;113;arrival
01;08:15;Cargo;SIN;CPA988;25L;119;departure
01;08:30;Regional Jet;AMS;KLM438;25R;185;arrival
01;08:45;Regional Jet;HKG;DLH204;25L;169;departure
01;09:00;Regional Jet;AMS;KLM163;07R;161;arrival
01;09:15;Military;BKK;BAW968;07R;111;departure
01;09:30;Private Jet;JFK;QTR218;07R;92;arrival
01;09:45;Cargo;BKK;AFR383;25R;167;departure
01;10:00;Airliner;JFK;AFR207;25R;34;arrival
01;10:30;Cargo;FRA;KLM337;25L;69;departure
01;10:45;Military;LAX;BAW855;25R;138;arrival
01;11:00;Regional Jet;FRA;QTR652;25R;198;departure
01;11:15;Cargo;HKG;UAE223;07R;345;arrival
01;12:45;Regional Jet;AMS;KLM938;07R;111;departure
01;13:00;Airliner;DXB;BAW680;07L;332;arrival
01;13:15;Airliner;DOH;CPA856;25R;48;departure
01;13:45;Private Jet;BKK;AFR364;25R;37;arrival
01;14:00;Private Jet;ATL;KLM994;07R;181;departure
01;14:15;Private Jet;JFK;KLM602;07R;74;arrival
01;15:00;Airliner;DXB;AAL790;07L;330;departure
01;15:15;Military;DOH;THY754;25L;239;arrival
01;15:30;Cargo;LAX;SIA310;25R;308;departure
01;15:45;Cargo;ORD;THY979;25R;340;arrival
01;16:15;Cargo;LAX;CPA419;07R;146;departure
01;16:30;Regional Jet;SIN;KLM721;07R;261;arrival
01;16:45;Private Jet;DXB;UAE623;25L;22;departure
01;17:00;Military;CDG;QTR893;07L;121;arrival
01;17:15;Military;SIN;BAW209;07L;267;departure
01;17:30;Private Jet;ATL;SIA162;25L;43;arrival
01;18:00;Airliner;DOH;AFR732;07R;53;departure
01;18:15;Military;ATL;QTR321;07L;95;arrival
01;18:30;Airliner;AMS;UAE172;07R;80;departure
01;18:45;Regional Jet;HKG;SIA994;25R;52;arrival
01;19:00;Airliner;DXB;UAE699;25R;164;departure
01;19:15;Military;HKG;THY159;07L;21;arrival
01;19:30;Regional Jet;SIN;THY117;07R;168;departure
01;19:45;Military;FRA;BAW761;25R;240;arrival
01;20:00;Regional Jet;BKK;QTR877;07R;120;departure
01;20:30;Airliner;IST;SIA691;07R;62;arrival
01;21:00;Private Jet;JFK;CPA862;25L;93;departure
01;21:15;Military;DOH;CPA892;07L;132;arrival
01;21:30;Cargo;DOH;UAE646;25R;142;departure
01;21:45;Cargo;ATL;SIA360;25L;312;arrival
01;22:00;Airliner;IST;KLM625;07L;71;departure
01;22:15;Military;AMS;CPA742;07L;50;arrival
01;23:15;Cargo;LAX;SIA942;25R;190;departure
01;23:30;Private Jet;DXB;UAE400;07R;317;arrival
01;23:45;Private Jet;HKG;KLM153;25R;355;departure
02;04:00;Military;JFK;SIA264;25R;185;arrival
02;04:15;Airliner;ATL;BAW958;07L;158;departure
02;04:45;Private Jet;ATL;AFR700;07L;119;arrival
02;05:00;Military;JFK;KLM784;25L;183;departure
02;05:15;Airliner;DOH;IBE686;07L;317;arrival
02;05:30;Airliner;DOH;AAL328;25R;64;departure
02;06:00;Airliner;AMS;KLM644;25R;152;arrival
02;06:15;Airliner;LHR;BAW849;07R;224;departure
02;06:45;Private Jet;IST;CPA609;25R;42;arrival
02;07:00;Airliner;ORD;DLH368;07L;124;departure
02;07:15;Regional Jet;ATL;IBE288;25R;334;arrival
02;08:15;Military;FRA;THY695;07L;67;departure
02;08:30;Cargo;ATL;UAE473;25R;292;arrival
02;08:45;Private Jet;MAD;IBE561;25L;46;departure
02;09:00;Private Jet;DOH;IBE527;07L;107;arrival
02;09:15;Airliner;ATL;QTR377;25R;359;departure
02;09:30;Private Jet;IST;DLH808;07L;201;arrival
02;09:45;Military;LHR;IBE571;07R;142;departure
02;10:00;Airliner;BKK;UAE583;25L;253;arrival
02;10:15;Cargo;AMS;IBE629;07L;67;departure
02;10:45;Military;ORD;DLH687;25L;204;arrival
02;11:00;Cargo;IST;AAL812;25R;233;departure
02;11:30;Regional Jet;HKG;CPA117;25R;198;arrival
02;11:45;Regional Jet;BKK;AAL865;07R;272;departure
02;12:00;Airliner;BKK;KLM729;07R;88;arrival
02;12:15;Military;DOH;AFR529;07R;157;departure
02;12:30;Military;BKK;DLH220;25R;174;arrival
02;12:45;Regional Jet;ATL;DLH336;07R;292;departure
02;13:00;Cargo;CDG;QTR533;25L;256;arrival
02;14:00;Cargo;HKG;IBE392;25L;165;departure
02;14:15;Private Jet;IST;UAE992;25L;24;arrival
02;14:45;Private Jet;ATL;DLH751;07L;107;departure
02;15:00;Private Jet;CDG;KLM453;25R;357;arrival
02;15:15;Regional Jet;LAX;DLH915;25R;119;departure
02;15:30;Private Jet;ATL;SIA352;25L;27;arrival
02;15:45;Regional Jet;FRA;KLM651;25R;284;departure
02;16:00;Cargo;IST;SIA747;07L;354;arrival
02;16:15;Airliner;LAX;KLM241;25L;236;departure
02;16:30;Private Jet;JFK;QTR413;07L;108;arrival
02;16:45;Military;ORD;SIA811;25R;138;departure
02;17:15;Military;ORD;AAL359;25L;39;arrival
02;17:30;Regional Jet;ORD;CPA287;25R;28;departure
02;17:45;Cargo;MAD;IBE266;07L;82;arrival
02;18:00;Airliner;FRA;BAW383;25L;40;departure
02;18:15;Regional Jet;CDG;SIA290;07R;326;arrival
02;18:45;Regional Jet;HKG;DLH256;25R;246;departure
02;19:00;Airliner;ATL;AAL196;25R;46;arrival
02;19:15;Private Jet;IST;IBE587;25R;205;departure
02;20:00;Military;BKK;IBE109;25L;77;arrival
02;20:15;Airliner;ATL;KLM299;25R;1;departure
02;21:00;Airliner;CDG;IBE197;07L;282;arrival
02;21:15;Military;HKG;QTR248;07R;52;departure
02;21:45;Military;JFK;IBE518;25R;73;arrival
02;22:00;Airliner;BKK;AAL836;25L;326;departure
02;22:15;Airliner;JFK;AAL256;25L;290;arrival
02;22:30;Military;IST;UAE269;07R;226;departure
02;22:45;Military;LAX;AAL215;07L;156;arrival
02;23:00;Private Jet;IST;DLH709;25R;293;departure
02;23:30;Airliner;LHR;THY730;07L;293;arrival
02;23:45;Military;DOH;AAL843;07L;129;departure
03;04:00;Regional Jet;ORD;DLH695;07R;360;arrival
03;04:45;Military;AMS;SIA480;25L;35;departure
03;05:00;Airliner;LHR;CPA134;07R;47;arrival
03;05:15;Military;HKG;DLH711;25L;290;departure
03;05:45;Regional Jet;LHR;SIA649;07L;227;arrival
03;06:00;Military;ATL;AAL769;25R;92;departure
03;06:30;Military;ORD;KLM147;25L;294;arrival
03;06:45;Private Jet;CDG;KLM490;25R;29;departure
03;07:30;Regional Jet;LHR;AAL507;25R;7;arrival
03;07:45;Airliner;ORD;DLH510;07R;256;departure
03;08:00;Cargo;HKG;THY642;07L;154;arrival
03;08:15;Military;CDG;BAW648;07R;211;departure
03;08:30;Private Jet;IST;AFR627;07L;24;arrival
03;08:45;Private Jet;LHR;KLM279;07L;359;departure
03;09:00;Private Jet;LHR;DLH590;07R;333;arrival
03;09:15;Military;ORD;BAW330;25L;73;departure
03;10:00;Private Jet;ORD;THY916;07R;41;arrival
03;10:30;Military;DOH;AAL572;07R;332;departure
03;10:45;Private Jet;IST;AAL600;07R;221;arrival
03;11:00;Cargo;BKK;IBE690;25L;208;departure
03;11:15;Private Jet;FRA;AFR906;07L;41;arrival
03;11:30;Regional Jet;IST;CPA611;25L;171;departure
03;12:00;Airliner;IST;AAL190;25R;140;arrival
03;12:15;Military;LAX;AFR984;07L;232;departure
03;12:30;Regional Jet;FRA;SIA852;25L;139;arrival
03;12:45;Private Jet;BKK;SIA564;25R;82;departure
03;13:00;Military;LHR;CPA859;07L;160;arrival
03;13:30;Military;FRA;CPA528;25L;218;departure
03;14:00;Military;IST;AAL143;07L;111;arrival
03;14:15;Airliner;FRA;AAL115;07R;58;departure
03;14:45;Cargo;LHR;AFR697;25L;22;arrival
03;15:00;Regional Jet;LHR;AFR204;07R;59;departure
03;15:15;Private Jet;SIN;QTR912;25L;358;arrival
03;15:30;Military;SIN;AFR921;25L;250;departure
03;15:45;Regional Jet;LHR;SIA825;07L;21;arrival
03;16:00;Private Jet;ORD;AFR421;07L;179;departure
03;16:30;Military;DOH;AAL197;07R;81;arrival
03;16:45;Cargo;JFK;AFR400;07R;19;departure
03;17:15;Private Jet;HKG;DLH479;07R;16;arrival
03;17:30;Private Jet;IST;IBE141;07R;320;departure
03;17:45;Military;DXB;KLM832;25R;160;arrival
03;18:00;Private Jet;DXB;AAL870;07L;145;departure
03;18:15;Cargo;IST;THY585;07L;148;arrival
03;18:45;Airliner;DOH;IBE662;25R;8;departure
03;19:00;Airliner;DOH;SIA816;07R;123;arrival
03;19:15;Cargo;DOH;AFR818;07R;135;departure
03;19:30;Regional Jet;DXB;KLM233;07L;277;arrival
03;20:00;Regional Jet;ORD;CPA836;25R;203;departure
03;20:15;Military;ATL;THY106;25L;122;arrival
03;20:30;Military;FRA;UAE135;07R;297;departure
03;21:00;Airliner;ATL;QTR798;25R;187;arrival
03;21:15;Cargo;SIN;THY611;07R;50;departure
03;21:30;Airliner;LHR;CPA253;07R;143;arrival
03;21:45;Private Jet;FRA;BAW179;25R;33;departure
03;22:00;Airliner;CDG;CPA875;07L;122;arrival
03;22:15;Cargo;DXB;BAW127;07L;232;departure
03;22:30;Airliner;LAX;THY745;25R;50;arrival
03;22:45;Cargo;IST;THY875;25L;260;departure
03;23:00;Airliner;IST;SIA821;07L;227;arrival
03;23:45;Military;FRA;CPA211;25R;327;departure
04;04:15;Cargo;ORD;BAW631;25L;314;arrival
04;04:30;Airliner;JFK;UAE217;07L;36;departure
04;04:45;Regional Jet;JFK;QTR993;07L;118;arrival
04;05:00;Private Jet;DXB;KLM371;25R;334;departure
04;05:30;Cargo;ATL;THY986;07R;64;arrival
04;05:45;Regional Jet;LAX;DLH313;25L;351;departure
04;06:15;Airliner;SIN;CPA488;25L;144;arrival
04;06:30;Airliner;BKK;KLM578;25L;29;departure
04;06:45;Cargo;BKK;UAE123;07R;73;arrival
04;07:00;Airliner;ATL;AAL123;25R;307;departure
04;07:30;Private Jet;BKK;AFR121;07R;117;arrival
04;07:45;Regional Jet;CDG;SIA787;07R;295;departure
04;08:00;Military;ORD;DLH475;25R;42;arrival
04;09:00;Airliner;ATL;AFR832;25R;360;departure
04;09:15;Military;HKG;DLH298;25L;343;arrival
04;09:30;Airliner;LAX;BAW994;07R;138;departure
04;09:45;Cargo;LAX;IBE718;25R;44;arrival
04;10:00;Military;MAD;SIA134;07R;303;departure
04;10:30;Private Jet;BKK;DLH562;25L;164;arrival
04;10:45;Airliner;HKG;AAL496;07L;219;departure
04;11:00;Military;IST;QTR848;25L;320;arrival
04;11:30;Private Jet;SIN;DLH229;07R;335;departure
04;11:45;Private Jet;MAD;UAE341;25R;36;arrival
04;12:00;Regional Jet;DOH;QTR569;25L;140;departure
04;12:15;Airliner;SIN;DLH321;25R;255;arrival
04;12:30;Airliner;AMS;KLM319;25L;48;departure
04;12:45;Cargo;FRA;AAL107;07L;123;arrival
04;13:15;Airliner;AMS;AAL642;25L;84;departure
04;13:30;Private Jet;MAD;AAL653;25R;27;arrival
04;14:15;Airliner;BKK;AFR242;25R;37;departure
04;15:00;Cargo;IST;IBE541;25L;286;arrival
04;15:15;Regional Jet;SIN;QTR116;07L;299;departure
04;15:30;Military;BKK;IBE942;25L;237;arrival
04;15:45;Airliner;BKK;UAE311;25R;23;departure
04;16:15;Airliner;AMS;AFR273;25R;126;arrival
04;16:30;Military;ORD;AFR298;07L;254;departure
04;16:45;Private Jet;CDG;IBE427;25L;43;arrival
04;17:00;Airliner;BKK;SIA448;25R;338;departure
04;17:30;Cargo;ORD;AFR803;25R;91;arrival
04;17:45;Airliner;IST;IBE667;07L;212;departure
04;18:00;Airliner;DOH;BAW649;25R;288;arrival
04;18:15;Regional Jet;HKG;AFR171;07L;128;departure
04;18:30;Cargo;IST;CPA904;07R;151;arrival
04;18:45;Cargo;FRA;SIA136;25L;254;departure
04;19:00;Cargo;AMS;SIA259;25R;198;arrival
04;19:15;Private Jet;DOH;CPA166;07L;275;departure
04;19:30;Cargo;HKG;CPA527;25R;228;arrival
04;19:45;Regional Jet;BKK;CPA328;25R;98;departure
04;20:00;Private Jet;DXB;IBE237;07R;123;arrival
04;20:15;Military;HKG;QTR555;25L;67;departure
04;20:45;Airliner;FRA;AAL477;07L;36;arrival
04;21:00;Cargo;SIN;AAL175;25R;20;departure
04;21:30;Airliner;BKK;CPA880;07R;154;arrival
04;21:45;Military;MAD;KLM417;25L;213;departure
04;22:15;Regional Jet;CDG;QTR292;07L;311;arrival
04;22:45;Airliner;CDG;THY552;07R;9;departure
04;23:00;Military;ATL;SIA770;07L;89;arrival
04;23:15;Airliner;MAD;SIA334;25L;122;departure
04;23:30;Regional Jet;IST;IBE604;07R;351;arrival
04;23:45;Cargo;LHR;CPA653;07L;231;departure
05;04:00;Military;BKK;BAW144;25R;41;arrival
05;04:30;Military;CDG;DLH494;07R;137;departure
05;04:45;Regional Jet;DXB;SIA746;25R;244;arrival
05;05:00;Military;LHR;BAW780;07R;82;departure
05;05:15;Regional Jet;ATL;THY634;25L;235;arrival
05;05:30;Regional Jet;LHR;QTR790;25R;197;departure
05;05:45;Regional Jet;JFK;IBE843;25R;153;arrival
05;06:00;Airliner;AMS;THY357;07R;317;departure
05;06:45;Military;ATL;SIA217;07L;166;arrival
05;07:00;Private Jet;CDG;IBE288;25R;339;departure
05;07:15;Airliner;CDG;DLH238;07R;110;arrival
05;07:30;Regional Jet;DXB;QTR164;07R;278;departure
05;07:45;Private Jet;HKG;BAW327;07R;231;arrival
05;08:00;Airliner;JFK;QTR153;25R;114;departure
05;08:15;Private Jet;SIN;SIA330;25L;185;arrival
05;08:30;Military;JFK;AAL850;07R;262;departure
05;08:45;Private Jet;JFK;AAL893;07R;33;arrival
05;09:00;Airliner;LHR;THY254;25R;266;departure
05;09:15;Regional Jet;HKG;AFR826;25L;190;arrival
05;09:30;Airliner;SIN;QTR503;25L;81;departure
05;09:45;Airliner;CDG;SIA146;07R;91;arrival
05;10:00;Cargo;HKG;KLM927;25R;245;departure
05;10:15;Private Jet;DOH;AAL398;25R;172;arrival
05;10:45;Airliner;LAX;BAW879;07L;351;departure
05;11:15;Military;BKK;KLM422;25L;322;arrival
05;11:30;Airliner;HKG;QTR704;07R;188;departure
05;11:45;Private Jet;CDG;AAL174;25L;15;arrival
05;12:00;Military;HKG;IBE752;07R;331;departure
05;12:30;Military;CDG;DLH119;07L;354;arrival
05;13:15;Cargo;JFK;QTR344;25R;194;departure
05;13:30;Private Jet;SIN;BAW291;07L;1;arrival
05;13:45;Regional Jet;LAX;AAL234;25L;89;departure
05;14:00;Airliner;FRA;QTR976;07R;120;arrival
05;14:15;Military;AMS;AFR142;07L;214;departure
05;15:00;Military;AMS;KLM655;07L;219;arrival
05;15:15;Cargo;LHR;CPA954;25R;9;departure
05;15:30;Regional Jet;CDG;KLM919;25L;49;arrival
05;16:00;Military;LHR;IBE889;07L;96;departure
05;16:15;Regional Jet;HKG;BAW942;25R;281;arrival
05;16:30;Regional Jet;LAX;AAL108;07L;183;departure
05;16:45;Regional Jet;IST;CPA379;25L;357;arrival
05;17:00;Cargo;LHR;IBE740;07R;44;departure
05;17:15;Private Jet;DXB;KLM395;25R;306;arrival
05;17:30;Military;LAX;KLM465;25R;24;departure
05;18:15;Cargo;DOH;THY516;07L;134;arrival
05;18:45;Private Jet;LAX;DLH754;07R;72;departure
05;19:00;Regional Jet;FRA;UAE932;25R;134;arrival
05;19:30;Regional Jet;HKG;SIA939;07R;123;departure
05;20:00;Private Jet;IST;UAE923;25L;45;arrival
05;20:15;Private Jet;SIN;DLH965;07L;132;departure
05;20:30;Cargo;ATL;SIA166;25R;260;arrival
05;21:00;Airliner;LHR;UAE852;07L;310;departure
05;21:15;Airliner;DXB;DLH570;07R;325;arrival
05;21:45;Cargo;ATL;UAE227;25L;34;departure
05;22:00;Military;CDG;DLH605;25L;173;arrival
05;22:15;Military;AMS;BAW189;07L;144;departure
05;22:30;Military;BKK;AFR519;07R;273;arrival
05;23:00;Military;LHR;CPA445;25L;36;departure
05;23:15;Airliner;MAD;SIA550;25R;245;arrival
05;23:30;Military;BKK;UAE131;07L;263;departure
